sta_code,sku_code,长(CM),宽(CM),高(CM),qty
ORDER_0005,BOX_0005_0021,12.77,48.21,25.84,1
ORDER_0005,BOX_0005_0022,25.84,24.65,48.21,1
ORDER_0005,BOX_0005_0023,15.71,17.07,52.32,1
ORDER_0005,BOX_0005_0024,26.21,14.92,31.04,1
ORDER_0005,BOX_0005_0025,31.04,29.79,14.92,1
ORDER_0005,BOX_0005_0026,58.45,20.42,35.38,1
ORDER_0005,BOX_0005_0027,20.42,58.45,33.63,1
ORDER_0005,BOX_0005_0028,17.07,15.71,31.91,1
ORDER_0005,BOX_0005_0029,15.71,15.77,17.07,1
ORDER_0005,BOX_0005_0030,56.0,31.04,19.8,1
ORDER_0005,BOX_0005_0031,12.94,56.0,31.04,1
ORDER_0005,BOX_0005_0032,20.75,18.74,54.7,1
ORDER_0005,BOX_0005_0033,54.7,18.12,20.75,1
ORDER_0005,BOX_0005_0034,7.4,25.84,48.21,1
ORDER_0005,BOX_0005_0035,12.76,25.84,48.21,1
ORDER_0005,BOX_0005_0036,48.21,25.84,21.53,1
ORDER_0005,BOX_0005_0037,20.89,25.84,48.21,1
ORDER_0005,BOX_0005_0038,22.04,15.71,31.14,1
ORDER_0005,BOX_0005_0039,31.14,23.75,15.71,1
ORDER_0006,BOX_0006_0000,52.36,55.1,65.32,1
ORDER_0006,BOX_0006_0001,100.0,47.64,26.92,1
ORDER_0006,BOX_0006_0002,44.9,27.29,65.32,1
ORDER_0006,BOX_0006_0003,65.32,25.07,44.9,1
ORDER_0006,BOX_0006_0004,43.18,34.68,64.59,1
ORDER_0006,BOX_0006_0005,34.68,51.74,35.41,1
ORDER_0006,BOX_0006_0006,34.68,48.26,35.41,1
ORDER_0006,BOX_0006_0007,66.58,38.4,47.64,1
ORDER_0006,BOX_0006_0008,38.4,33.42,47.64,1
ORDER_0006,BOX_0006_0009,64.59,34.68,29.47,1
ORDER_0006,BOX_0006_0010,34.68,27.35,64.59,1
ORDER_0007,BOX_0007_0000,37.32,100.0,10.78,1
ORDER_0007,BOX_0007_0001,22.05,47.25,18.43,1
ORDER_0007,BOX_0007_0002,52.75,28.88,33.89,1
ORDER_0007,BOX_0007_0003,11.7,52.75,56.54,1
ORDER_0007,BOX_0007_0004,37.91,27.14,52.01,1
ORDER_0007,BOX_0007_0005,37.91,27.14,47.99,1
ORDER_0007,BOX_0007_0006,22.38,18.43,47.25,1
ORDER_0007,BOX_0007_0007,24.62,39.53,37.32,1
ORDER_0007,BOX_0007_0008,19.46,39.53,37.32,1
ORDER_0007,BOX_0007_0009,38.11,42.8,22.34,1
ORDER_0007,BOX_0007_0010,47.09,39.56,43.46,1
ORDER_0007,BOX_0007_0011,9.89,38.11,42.8,1
ORDER_0007,BOX_0007_0012,15.02,38.11,42.8,1
ORDER_0007,BOX_0007_0013,19.29,37.32,15.11,1
ORDER_0007,BOX_0007_0014,19.29,37.32,24.42,1
ORDER_0007,BOX_0007_0015,47.25,18.25,11.47,1
ORDER_0007,BOX_0007_0016,43.46,22.53,14.15,1
ORDER_0007,BOX_0007_0017,32.94,22.53,43.46,1
ORDER_0007,BOX_0007_0018,33.89,27.66,29.91,1
ORDER_0007,BOX_0007_0019,33.89,27.66,22.84,1
ORDER_0007,BOX_0007_0020,45.03,37.91,16.32,1
ORDER_0007,BOX_0007_0021,37.91,54.97,16.32,1
ORDER_0007,BOX_0007_0022,43.46,62.09,19.89,1
ORDER_0007,BOX_0007_0023,19.72,36.63,37.32,1
ORDER_0007,BOX_0007_0024,17.09,32.1,52.75,1
ORDER_0007,BOX_0007_0025,7.06,38.11,16.02,1
ORDER_0007,BOX_0007_0026,31.23,7.06,38.11,1
ORDER_0007,BOX_0007_0027,47.25,12.72,6.96,1
ORDER_0007,BOX_0007_0028,6.96,47.25,5.53,1
ORDER_0007,BOX_0007_0029,15.02,100.0,6.23,1
ORDER_0007,BOX_0007_0030,22.3,100.0,6.23,1
ORDER_0007,BOX_0007_0031,12.29,52.75,17.09,1
ORDER_0007,BOX_0007_0032,52.75,17.09,12.15,1
ORDER_0007,BOX_0007_0033,12.91,36.63,37.32,1
ORDER_0007,BOX_0007_0034,37.32,36.63,6.9,1
ORDER_0007,BOX_0007_0035,38.11,21.06,12.82,1
ORDER_0007,BOX_0007_0036,38.11,12.82,26.19,1
ORDER_0007,BOX_0007_0037,62.09,33.02,16.54,1
ORDER_0007,BOX_0007_0038,62.09,33.02,26.92,1
ORDER_0008,BOX_0008_0000,100.0,35.83,37.13,1
ORDER_0008,BOX_0008_0001,20.24,100.0,62.87,1
ORDER_0008,BOX_0008_0002,62.87,35.47,37.2,1
ORDER_0008,BOX_0008_0003,63.4,64.17,37.13,1
ORDER_0008,BOX_0008_0004,36.6,64.17,37.13,1
ORDER_0008,BOX_0008_0005,62.87,46.19,44.29,1
ORDER_0008,BOX_0008_0006,53.81,15.91,62.87,1
ORDER_0008,BOX_0008_0007,28.38,62.87,53.81,1
ORDER_0008,BOX_0008_0008,35.47,62.8,26.34,1
ORDER_0008,BOX_0008_0009,35.47,62.8,36.53,1
ORDER_0009,BOX_0009_0000,66.21,20.65,54.1,1
ORDER_0009,BOX_0009_0001,35.25,66.21,25.2,1
ORDER_0009,BOX_0009_0002,38.23,45.9,20.65,1
ORDER_0009,BOX_0009_0003,50.74,63.6,13.7,1
ORDER_0009,BOX_0009_0004,50.74,36.4,13.7,1
ORDER_0009,BOX_0009_0005,66.21,25.43,11.2,1
ORDER_0009,BOX_0009_0006,33.31,24.73,33.79,1
ORDER_0009,BOX_0009_0007,24.73,33.79,66.69,1
ORDER_0009,BOX_0009_0008,42.82,32.32,33.79,1
ORDER_0009,BOX_0009_0009,64.75,66.21,9.94,1
ORDER_0009,BOX_0009_0010,18.21,27.86,34.5,1
ORDER_0009,BOX_0009_0011,23.04,27.86,28.41,1
ORDER_0009,BOX_0009_0012,27.86,41.02,26.22,1
ORDER_0009,BOX_0009_0013,24.48,26.22,27.86,1
ORDER_0009,BOX_0009_0014,100.0,7.48,49.26,1
ORDER_0009,BOX_0009_0015,100.0,7.61,49.26,1
ORDER_0009,BOX_0009_0016,37.35,10.2,50.74,1
ORDER_0009,BOX_0009_0017,50.74,62.65,10.2,1
ORDER_0009,BOX_0009_0018,27.86,20.2,31.05,1
ORDER_0009,BOX_0009_0019,14.3,31.05,27.86,1
ORDER_0009,BOX_0009_0020,33.72,100.0,5.96,1
ORDER_0009,BOX_0009_0021,17.02,5.96,100.0,1
ORDER_0009,BOX_0009_0022,37.09,9.93,27.86,1
ORDER_0009,BOX_0009_0023,27.86,13.11,37.09,1
ORDER_0009,BOX_0009_0024,50.74,13.09,46.89,1
ORDER_0009,BOX_0009_0025,45.5,11.2,32.77,1
ORDER_0009,BOX_0009_0026,10.71,57.18,33.79,1
ORDER_0009,BOX_0009_0027,31.04,13.09,50.74,1
ORDER_0009,BOX_0009_0028,22.07,13.09,50.74,1
ORDER_0009,BOX_0009_0029,41.8,22.6,11.2,1
ORDER_0009,BOX_0009_0030,41.8,11.2,26.9,1
ORDER_0009,BOX_0009_0031,11.2,16.71,41.8,1
ORDER_0009,BOX_0009_0032,64.75,37.2,15.26,1
ORDER_0009,BOX_0009_0033,64.75,29.01,15.26,1
ORDER_0009,BOX_0009_0034,21.61,33.79,29.65,1
ORDER_0009,BOX_0009_0035,27.53,33.79,21.61,1
ORDER_0009,BOX_0009_0036,11.2,20.8,20.71,1
ORDER_0009,BOX_0009_0037,20.71,11.97,11.2,1
ORDER_0009,BOX_0009_0038,8.28,45.9,27.98,1
ORDER_0009,BOX_0009_0039,45.9,12.37,27.98,1
ORDER_0010,BOX_0010_0000,30.11,40.89,100.0,1
ORDER_0010,BOX_0010_0001,42.8,39.03,69.89,1
ORDER_0010,BOX_0010_0002,30.11,100.0,21.34,1
ORDER_0010,BOX_0010_0003,14.72,100.0,37.77,1
ORDER_0010,BOX_0010_0004,37.77,15.39,100.0,1
ORDER_0010,BOX_0010_0005,57.2,41.42,44.71,1
ORDER_0010,BOX_0010_0006,37.4,42.8,36.1,1
ORDER_0010,BOX_0010_0007,37.4,42.8,24.87,1
ORDER_0010,BOX_0010_0008,17.64,25.18,57.2,1
ORDER_0010,BOX_0010_0009,25.18,23.78,57.2,1
ORDER_0010,BOX_0010_0010,36.89,69.89,57.2,1
ORDER_0010,BOX_0010_0011,21.69,69.89,57.2,1
ORDER_0010,BOX_0010_0012,14.19,60.97,32.49,1
ORDER_0010,BOX_0010_0013,60.97,32.49,28.61,1
ORDER_0011,BOX_0011_0000,47.39,42.51,27.68,1
ORDER_0011,BOX_0011_0001,38.45,31.09,22.53,1
ORDER_0011,BOX_0011_0002,19.98,45.13,38.45,1
ORDER_0011,BOX_0011_0003,15.37,52.61,27.68,1
ORDER_0011,BOX_0011_0004,27.14,52.61,27.68,1
ORDER_0011,BOX_0011_0005,25.41,66.43,47.62,1
ORDER_0011,BOX_0011_0006,27.18,42.51,33.87,1
ORDER_0011,BOX_0011_0007,50.47,20.82,42.51,1
ORDER_0011,BOX_0011_0008,42.51,13.05,50.47,1
ORDER_0011,BOX_0011_0009,42.45,52.38,9.57,1
ORDER_0011,BOX_0011_0010,42.45,16.91,52.38,1
ORDER_0011,BOX_0011_0011,25.66,66.43,32.08,1
ORDER_0011,BOX_0011_0012,57.49,23.98,17.54,1
ORDER_0011,BOX_0011_0013,26.08,34.84,23.98,1
ORDER_0011,BOX_0011_0014,31.41,23.98,34.84,1
ORDER_0011,BOX_0011_0015,42.51,33.87,12.74,1
ORDER_0011,BOX_0011_0016,42.51,33.87,9.61,1
ORDER_0011,BOX_0011_0017,57.49,33.57,36.06,1
ORDER_0011,BOX_0011_0018,33.57,57.49,16.31,1
ORDER_0011,BOX_0011_0019,15.55,32.35,19.98,1
ORDER_0011,BOX_0011_0020,22.9,19.98,32.35,1
ORDER_0011,BOX_0011_0021,33.57,57.49,19.54,1
ORDER_0011,BOX_0011_0022,33.57,28.09,57.49,1
ORDER_0011,BOX_0011_0023,27.7,31.01,27.33,1
ORDER_0011,BOX_0011_0024,27.7,31.01,15.12,1
ORDER_0011,BOX_0011_0025,42.45,16.21,24.68,1
ORDER_0011,BOX_0011_0026,42.45,14.8,24.68,1
ORDER_0011,BOX_0011_0027,22.52,19.9,19.98,1
ORDER_0011,BOX_0011_0028,18.55,19.98,22.52,1
ORDER_0011,BOX_0011_0029,16.52,38.45,22.53,1
ORDER_0011,BOX_0011_0030,38.45,7.4,22.53,1
ORDER_0011,BOX_0011_0031,21.96,35.62,32.08,1
ORDER_0011,BOX_0011_0032,21.96,30.81,32.08,1
ORDER_0011,BOX_0011_0033,22.53,31.08,38.45,1
ORDER_0011,BOX_0011_0034,38.45,22.53,13.91,1
ORDER_0012,BOX_0012_0000,40.47,11.53,30.38,1
ORDER_0012,BOX_0012_0001,30.38,40.47,5.71,1
ORDER_0012,BOX_0012_0002,22.55,36.34,18.36,1
ORDER_0012,BOX_0012_0003,45.06,27.02,50.14,1
ORDER_0012,BOX_0012_0004,20.35,27.02,27.73,1
ORDER_0012,BOX_0012_0005,20.35,27.02,22.41,1
ORDER_0012,BOX_0012_0006,30.38,35.33,17.24,1
ORDER_0012,BOX_0012_0007,24.2,30.38,17.24,1
ORDER_0012,BOX_0012_0008,17.04,40.17,59.05,1
ORDER_0012,BOX_0012_0009,40.17,40.95,17.04,1
ORDER_0012,BOX_0012_0010,13.74,40.25,31.01,1
ORDER_0012,BOX_0012_0011,50.14,21.88,34.07,1
ORDER_0012,BOX_0012_0012,31.34,21.88,50.14,1
ORDER_0012,BOX_0012_0013,14.56,32.01,13.49,1
ORDER_0012,BOX_0012_0014,14.56,11.76,32.01,1
ORDER_0012,BOX_0012_0015,24.89,34.77,14.56,1
ORDER_0012,BOX_0012_0016,24.89,30.64,14.56,1
ORDER_0012,BOX_0012_0017,12.73,31.01,40.25,1
ORDER_0012,BOX_0012_0018,6.15,40.25,31.01,1
ORDER_0012,BOX_0012_0019,60.61,34.59,19.69,1
ORDER_0012,BOX_0012_0020,30.45,34.59,60.61,1
ORDER_0012,BOX_0012_0021,38.74,100.0,15.58,1
ORDER_0012,BOX_0012_0022,15.58,21.01,100.0,1
ORDER_0012,BOX_0012_0023,34.23,31.78,22.55,1
ORDER_0012,BOX_0012_0024,22.55,31.78,13.41,1
ORDER_0012,BOX_0012_0025,22.55,31.78,17.77,1
ORDER_0012,BOX_0012_0026,18.36,11.81,29.07,1
ORDER_0012,BOX_0012_0027,68.07,69.62,17.24,1
ORDER_0012,BOX_0012_0028,18.36,10.74,12.75,1
ORDER_0012,BOX_0012_0029,18.36,10.74,16.32,1
ORDER_0012,BOX_0012_0030,48.7,31.93,17.24,1
ORDER_0012,BOX_0012_0031,17.24,31.93,20.92,1
ORDER_0012,BOX_0012_0032,13.99,50.14,20.09,1
ORDER_0012,BOX_0012_0033,50.14,13.99,45.32,1
ORDER_0012,BOX_0012_0034,19.58,35.16,17.04,1
ORDER_0012,BOX_0012_0035,17.04,64.84,19.58,1
ORDER_0012,BOX_0012_0036,14.61,40.25,11.64,1
ORDER_0012,BOX_0012_0037,40.25,11.64,23.64,1
ORDER_0012,BOX_0012_0038,46.78,40.25,20.98,1
ORDER_0012,BOX_0012_0039,20.98,22.21,40.25,1
ORDER_0012,BOX_0012_0040,25.5,30.74,11.64,1
ORDER_0012,BOX_0012_0041,11.64,30.74,14.75,1
ORDER_0012,BOX_0012_0042,25.25,6.68,33.4,1
ORDER_0012,BOX_0012_0043,7.88,25.25,33.4,1
ORDER_0012,BOX_0012_0044,8.18,34.59,39.39,1
ORDER_0012,BOX_0012_0045,34.59,13.3,39.39,1
ORDER_0012,BOX_0012_0046,39.39,34.59,14.18,1
ORDER_0012,BOX_0012_0047,34.59,14.48,39.39,1
ORDER_0013,BOX_0013_0000,43.69,19.34,55.36,1
ORDER_0013,BOX_0013_0001,19.25,59.36,25.22,1
ORDER_0013,BOX_0013_0002,59.36,19.25,19.42,1
ORDER_0013,BOX_0013_0003,100.0,15.48,40.64,1
ORDER_0013,BOX_0013_0004,100.0,14.84,35.73,1
ORDER_0013,BOX_0013_0005,31.63,28.69,35.25,1
ORDER_0013,BOX_0013_0006,24.81,31.63,35.25,1
ORDER_0013,BOX_0013_0007,35.25,30.03,31.63,1
ORDER_0013,BOX_0013_0008,24.44,59.36,17.0,1
ORDER_0013,BOX_0013_0009,62.3,13.05,35.73,1
ORDER_0013,BOX_0013_0010,13.05,35.73,37.7,1
ORDER_0013,BOX_0013_0011,61.78,12.75,35.73,1
ORDER_0013,BOX_0013_0012,38.22,12.75,35.73,1
ORDER_0013,BOX_0013_0013,16.47,20.17,35.25,1
ORDER_0013,BOX_0013_0014,16.47,35.25,11.46,1
ORDER_0013,BOX_0013_0015,18.19,100.0,38.27,1
ORDER_0013,BOX_0013_0016,24.68,38.53,100.0,1
ORDER_0013,BOX_0013_0017,100.0,20.83,24.68,1
ORDER_0013,BOX_0013_0018,36.49,40.64,17.16,1
ORDER_0013,BOX_0013_0019,40.64,17.16,63.51,1
ORDER_0013,BOX_0013_0020,26.48,16.98,100.0,1
ORDER_0013,BOX_0013_0021,14.65,26.48,100.0,1
ORDER_0013,BOX_0013_0022,38.27,13.44,65.61,1
ORDER_0013,BOX_0013_0023,13.44,38.27,34.39,1
ORDER_0013,BOX_0013_0024,43.69,55.36,14.48,1
ORDER_0013,BOX_0013_0025,43.69,55.36,25.54,1
ORDER_0013,BOX_0013_0026,27.64,19.63,24.44,1
ORDER_0013,BOX_0013_0027,39.73,27.64,24.44,1
ORDER_0014,BOX_0014_0000,50.85,35.28,46.08,1
ORDER_0014,BOX_0014_0001,30.07,31.75,50.85,1
ORDER_0014,BOX_0014_0002,49.15,100.0,43.65,1
ORDER_0014,BOX_0014_0003,32.97,18.29,100.0,1
ORDER_0014,BOX_0014_0004,49.15,53.79,56.35,1
ORDER_0014,BOX_0014_0005,46.21,49.15,56.35,1
ORDER_0014,BOX_0014_0006,16.52,35.28,53.92,1
ORDER_0014,BOX_0014_0007,53.92,20.16,22.68,1
ORDER_0014,BOX_0014_0008,19.61,11.65,20.16,1
ORDER_0014,BOX_0014_0009,32.97,32.56,64.44,1
ORDER_0014,BOX_0014_0010,32.97,32.56,35.56,1
ORDER_0014,BOX_0014_0011,20.16,22.58,11.65,1
ORDER_0014,BOX_0014_0012,11.65,11.73,20.16,1
ORDER_0014,BOX_0014_0013,42.97,25.57,31.75,1
ORDER_0014,BOX_0014_0014,26.96,25.57,31.75,1
ORDER_0014,BOX_0014_0015,15.12,20.34,34.33,1
ORDER_0014,BOX_0014_0016,15.12,34.33,33.58,1
ORDER_0014,BOX_0014_0017,69.93,10.76,31.75,1
ORDER_0014,BOX_0014_0018,69.93,31.75,14.52,1
ORDER_0015,BOX_0015_0000,100.0,35.77,17.56,1
ORDER_0015,BOX_0015_0001,22.32,45.22,35.77,1
ORDER_0015,BOX_0015_0002,59.64,20.24,29.44,1
ORDER_0015,BOX_0015_0003,22.32,54.78,20.9,1
ORDER_0015,BOX_0015_0004,64.23,34.18,39.88,1
ORDER_0015,BOX_0015_0005,18.77,49.63,35.1,1
ORDER_0015,BOX_0015_0006,49.63,11.91,35.1,1
ORDER_0015,BOX_0015_0007,36.96,60.23,9.6,1
ORDER_0015,BOX_0015_0008,100.0,29.44,29.05,1
ORDER_0015,BOX_0015_0009,22.32,26.99,14.87,1
ORDER_0015,BOX_0015_0010,27.79,14.87,22.32,1
ORDER_0015,BOX_0015_0011,49.63,7.15,27.94,1
ORDER_0015,BOX_0015_0012,49.63,27.94,13.78,1
ORDER_0015,BOX_0015_0013,100.0,9.68,35.02,1
